"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_2.5mm","~","4","","",""
"J1","LED1_IN","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"J2","Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","~","1","","",""
"J3","LED1_OUT","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"J4","LED2_IN","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"J5","LED2_OUT","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"J6","LED3_IN","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"J7","LED3_OUT","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"J8","LED4_IN","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"J9","LED4_OUT","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","1","","",""
"R1,R2","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","2","","",""
"S1,S2","1825967-1","1825967-1:SW_1825967-1","","2","","",""
"S3","SS12D07VG4","SS12D07VG4:SW_SS12D07VG4","","1","","",""
"U1","ArduinoProMiniSimple","DesktopLibrary:ArduinoProMiniCustom","","1","","",""
